FECHA;TITULO
2025-11-24T14:36:51+00:00;ADECOR aprueba unos 798.000 euros de ayudas Leader para 20 proyectos impulsados por Ayuntamientos de la Campana de Oropesa
2024-02-01T14:28:52+00:00;ADECOR asiste a la Presentación Oficial del Producto de Ecoturismo Regional “Ecoturismo en la Red Natura 2000 en Castilla-La Mancha”
2025-06-17T09:29:18+00:00;ADECOR creará una plataforma de asesoramiento y apoyo para implantar la Inteligencia Artificial en la comarca
2025-03-26T09:44:55+00:00;ADECOR destinó cerca de 70.000 euros a mejorar la formación de más de 350 personas de la comarca
2025-01-24T12:08:48+00:00;ADECOR felicita a Torrico y Valdeverdeja por la declaración de sus ‘soldadescas’ como Bien de Interés Cultural
2025-09-25T13:09:14+00:00;ADECOR ha contribuido a movilizar casi 2,8 millones de inversión en proyectos agroalimentarios en la Campana de Oropesa
2025-06-13T11:34:47+00:00;ADECOR inicia en Oropesa el proyecto ‘Ponte en su lugar’, para sensibilizar contra la violencia de género
2025-03-14T09:09:43+00:00;ADECOR posiciona su comarca como destino ecoturístico con experiencias en torno a la conservación de las aves rapaces
2023-10-05T08:06:09+00:00;ADEL acerca a las empresas alimentarias de la Sierra Norte un curso de análisis de peligros y puntos de control críticos (APPCC)
2024-04-09T13:17:01+00:00;ADEL acerca a los emprendedores un curso para mejorar la comercialización y venta del producto turístico
2024-10-10T10:50:43+00:00;ADEL acerca la Astronomía a los institutos de la Sierra Norte
2020-12-17T14:20:56+00:00;ADEL compromete fondos por valor de 317.164,3 euros para financiar 14 proyectos en la Sierra Norte
2024-10-09T14:30:43+00:00;ADEL convoca un curso de formación como personal de mantenimiento y limpieza de alojamientos
2024-11-06T18:26:17+00:00;ADEL cumple 30 años fomentando el emprendimiento y luchando contra la despoblación en la Sierra Norte
2025-01-02T07:11:29+00:00;ADEL dio a conocer el entorno natural de los pueblos de su comarca, con motivo de su trigésimo aniversario
2024-10-24T16:38:16+00:00;ADEL edita dos libros infantiles para acercar a los escolares el patrimonio de la Sierra Norte
2024-03-07T08:40:20+00:00;ADEL edita el número 13 de su revista La Pizarra de la Sierra Norte
2023-11-15T14:14:39+00:00;ADEL enseña a los mayores a utilizar los móviles y les inicia en el uso de internet
2024-04-03T09:39:37+00:00;ADEL forma en digitalización a setenta personas de entre 60 y 80 años en la Sierra Norte
2024-05-28T08:02:31+00:00;ADEL ha formado a 23 cocineros y camareros que quieren quedarse en la Sierra Norte
2024-05-14T15:06:42+00:00;ADEL impulsa el Turismo 0 emisiones en la Sierra Norte de Guadalajara
2024-10-31T12:43:43+00:00;ADEL lanza nuevos cursos para dinamizar el entorno rural a partir del ecoturismo
2023-12-14T11:13:24+00:00;ADEL pondrá en manos del emprendimiento de la Sierra Norte 3,84 millones entre los años 24-27
2024-07-01T05:48:42+00:00;ADEL pone en marcha un curso de piloto de drones para agricultores y ganaderos de la Sierra Norte
2023-09-13T08:53:54+00:00;ADEL pone en valor la artesanía local de la mano de RED(R)
2024-02-29T09:39:08+00:00;ADEL renueva su junta directiva
2022-05-13T07:40:39+00:00;ADESIMAN presentará su candidatura a los planes de sostenibilidad turística en destino
2025-02-24T07:18:02+00:00;ADESIMAN presentó su Plan de Sostenibilidad Turística que cuenta con casi 3,8 millones de euros
2020-12-30T08:00:58+00:00;ADI Mancha Júcar Centro lanza una nueva convocatoria de ayudas Leader por un importe total de 650.000 euros
2022-03-01T14:57:10+00:00;ADI Mancha Júcar-Centro abre la mayor convocatoria de ayudas LEADER con más de 1.315.000 €
2022-02-07T10:39:18+00:00;ADI Mancha Júcar-Centro compromete 570.000 euros para apoyar 15 proyectos en su comarca
2025-11-11T12:12:39+00:00;ADIMAN acerca al alumnado del IES de Motilla del Palancar las oportunidades de emprendimiento en la Manchuela Conquense
2025-03-11T17:55:53+00:00;ADIMAN analiza con el alumnado del Instituto de Iniesta el futuro de la digitalización en la Manchuela Conquense
2025-04-16T11:48:44+00:00;ADIMAN anima a las entidades no lucrativas a aprovechar las oportunidades que ofrecen los fondos europeos
2025-03-25T10:03:09+00:00;ADIMAN aprobó 167 proyectos que movilizaron una inversión total de 11,6 millones de euros en la comarca
2025-04-10T10:00:11+00:00;ADIMAN aprueba 350.000 euros de ayudas Leader para seis proyectos emprendedores de la comarca
2025-10-02T13:12:37+00:00;ADIMAN aprueba ayudas por valor de más de 1 millón de euros para 29 ayuntamientos de la Manchuela Conquense
2022-01-31T09:25:10+00:00;ADIMAN aprueba el pago de 44 proyectos de La Manchuela con una subvención total de 643.732 euros
2020-11-11T09:18:04+00:00;ADIMAN aprueba las convocatorias de subvenciones Leader
2018-06-05T09:43:39+00:00;ADIMAN aprueba subvenciones por valor de más de 300.000 euros destinadas a 11 proyectos de la comarca de la Manchuela
2019-10-21T07:40:22+00:00;ADIMAN asiste a la reunión con el Gobierno regional y los grupos de acción local de Cuenca
2018-05-09T12:20:43+00:00;ADIMAN asistirá a un encuentro de cooperación Internacional sobre despoblación los días 23 y 24 de mayo en Daugavpils (Letonia)
2021-11-17T09:01:17+00:00;ADIMAN califica de 'éxito' su viaje a Bolivia
2019-01-04T08:11:52+00:00;ADIMAN celebra la última Junta Directiva de 2018 con la aprobación de nuevos expedientes y un balance positivo en su senda financiera
2018-07-02T09:24:00+00:00;"Adimán celebra su Asamblea General de 2018 con un crecimiento ""muy positivo"" en inversiones y proyectos"
2023-11-13T15:01:06+00:00;Adiman celebra su tercera reunión de la Junta Directiva este año 2023
2023-12-21T09:34:34+00:00;Adiman celebra su última reunión de la Junta Directiva del año 2023
2021-12-16T09:47:21+00:00;ADIMAN contará con un presupuesto de 420.516,25 euros en 2022
2020-04-07T07:21:31+00:00;Adiman continúa con los pagos a proyectos en la Manchuela con fondos públicos en 2020
2025-05-30T12:37:23+00:00;ADIMAN coordinará dos proyectos de cooperación internacional y regional relacionados con turismo sostenible e inclusivo y señalización
2019-12-23T13:46:54+00:00;Adiman coordinará la nueva Junta Directiva de la Asociación de Municipios Ribera del Cabriel y financiará un proyecto de promoción turística del Valle
2020-05-14T11:41:58+00:00;ADIMAN cree que el turismo puede ser un factor clave para la recuperación económica
